episode,reward,completed
1,-20.924422310756974,0
2,-20.924422310756974,0
3,-20.924422310756974,0
4,58.39,1
5,-20.872171314741035,0
6,-20.8199203187251,0
7,-20.872171314741035,0
8,58.39,1
9,-20.8199203187251,0
10,-20.924422310756974,0
11,-20.8199203187251,0
12,-20.924422310756974,0
13,-20.872171314741035,0
14,-20.924422310756974,0
15,-20.872171314741035,0
16,-20.872171314741035,0
17,-20.872171314741035,0
18,-20.924422310756974,0
19,-20.8199203187251,0
20,-20.872171314741035,0
21,-20.8199203187251,0
22,-20.924422310756974,0
23,58.39,1
24,58.39,1
25,-20.924422310756974,0
26,58.39,1
27,-20.924422310756974,0
28,-20.924422310756974,0
29,58.39,1
30,-20.872171314741035,0
31,-20.8199203187251,0
32,-20.872171314741035,0
33,-20.924422310756974,0
34,-20.924422310756974,0
35,-20.924422310756974,0
36,-20.872171314741035,0
37,-20.924422310756974,0
38,-20.872171314741035,0
39,-20.8199203187251,0
40,-20.924422310756974,0
41,-20.924422310756974,0
42,-20.924422310756974,0
43,-20.924422310756974,0
44,-20.872171314741035,0
45,-20.924422310756974,0
46,-20.924422310756974,0
47,-20.924422310756974,0
48,-20.924422310756974,0
49,-20.924422310756974,0
50,-20.924422310756974,0
51,-20.8199203187251,0
52,-20.924422310756974,0
53,-20.924422310756974,0
54,-20.924422310756974,0
55,-20.924422310756974,0
56,-20.872171314741035,0
57,-20.924422310756974,0
58,-20.924422310756974,0
59,-20.924422310756974,0
60,-20.872171314741035,0
61,-20.872171314741035,0
62,-20.924422310756974,0
63,-20.924422310756974,0
64,-20.924422310756974,0
65,-20.8199203187251,0
66,-20.924422310756974,0
67,-20.924422310756974,0
68,-20.8199203187251,0
69,-20.872171314741035,0
70,-20.924422310756974,0
71,58.39,1
72,-20.924422310756974,0
73,-20.924422310756974,0
74,-20.8199203187251,0
75,-20.872171314741035,0
76,-20.924422310756974,0
77,58.39,1
78,58.39,1
79,-20.924422310756974,0
80,-20.8199203187251,0
